Game ID,League,Bet Name,Game Name,Market Name,line_caesars,Odds_caesars,line_pinnacle,Odds_pinnacle,EV_caesars
81005-25135-2024-09-21-16,MLB,St. Louis Cardinals,St. Louis Cardinals vs Cleveland Guardians,1st Inning Moneyline 3-Way,,360.0,,290.0,15.635997988939167
78014-13184-24-38,NFL,Isaac Guerendo,Los Angeles Rams vs San Francisco 49ers,Anytime Touchdown Scorer,,800.0,,665.0,15.340253748558254
78014-13184-24-38,NFL,Isaac Guerendo Over 0.5,Los Angeles Rams vs San Francisco 49ers,Player Touchdowns,0.5,800.0,0.5,665.0,15.340253748558254
54558-76765-2024-09-21-18,MLB,Oakland Athletics,Oakland Athletics vs New York Yankees,1st Inning Moneyline 3-Way,,400.0,,332.0,13.47131445170659
37569-25683-2024-09-21-17,MLB,Chicago White Sox,San Diego Padres vs Chicago White Sox,1st Inning Moneyline 3-Way,,460.0,,393.0,11.363003619297615
35807-41184-24-38,NCAAF,North Carolina State,Clemson vs North Carolina State,1st Quarter Moneyline,,360.0,,308.0,10.53440984236829
38548-10478-2024-09-21-16,MLB,Texas Rangers,Texas Rangers vs Seattle Mariners,1st Inning Moneyline 3-Way,,300.0,,256.0,10.15642211940957
39506-20895-2024-09-21-13,MLB,Pablo Lopez Under 7.5,Boston Red Sox vs Minnesota Twins,Player Strikeouts,7.5,-115.0,7.5,-149.0,9.679981648674826
60486-26495-2024-09-21-16,MLB,Los Angeles Angels,Houston Astros vs Los Angeles Angels,1st Inning Moneyline 3-Way,,430.0,,374.0,9.621907834863904
37569-25683-2024-09-21-17,MLB,San Diego Padres,San Diego Padres vs Chicago White Sox,1st Inning Moneyline 3-Way,,235.0,,200.0,9.477124183006524
12164-37900-2024-09-21-13,MLB,Philadelphia Phillies,New York Mets vs Philadelphia Phillies,1st Inning Moneyline 3-Way,,350.0,,304.0,9.202096680256261
14412-37337-2024-09-21-16,MLB,Milwaukee Brewers,Milwaukee Brewers vs Arizona Diamondbacks,1st Inning Moneyline 3-Way,,305.0,,264.0,9.082094376212012
32800-66793-2024-09-21-13,MLB,Tampa Bay Rays,Tampa Bay Rays vs Toronto Blue Jays,1st Inning Moneyline 3-Way,,300.0,,260.0,8.932461873638331
12164-37900-2024-09-21-13,MLB,New York Mets,New York Mets vs Philadelphia Phillies,1st Inning Moneyline 3-Way,,330.0,,287.0,8.932461873638331
39506-20895-2024-09-21-13,MLB,Boston Red Sox,Boston Red Sox vs Minnesota Twins,1st Inning Moneyline 3-Way,,350.0,,306.0,8.664155317299318
54558-76765-2024-09-21-18,MLB,Tyler Nevin Yes,Oakland Athletics vs New York Yankees,Player Home Runs Yes/No,,850.0,,759.0,8.425209431851897
54558-76765-2024-09-21-18,MLB,Tyler Nevin Over 0.5,Oakland Athletics vs New York Yankees,Player Home Runs,0.5,850.0,0.5,759.0,8.425209431851897
38548-10478-2024-09-21-16,MLB,Seattle Mariners,Texas Rangers vs Seattle Mariners,1st Inning Moneyline 3-Way,,370.0,,326.0,8.165331860443715
77025-21097-24-38,NCAAF,Ohio,Kentucky vs Ohio,Moneyline,,800.0,,717.0,7.9991360069119395
32800-66793-2024-09-21-13,MLB,Taj Bradley Under 5.5,Tampa Bay Rays vs Toronto Blue Jays,Player Hits Allowed,5.5,-133.0,5.5,-169.0,7.904245634861262
36827-18077-24-38,NCAAF,Akron,South Carolina vs Akron,1st Half Moneyline,,950.0,,855.0,7.791807822605463
24292-36707-2024-09-21-10,MLB,Rhett Lowder Under 4.5,Cincinnati Reds vs Pittsburgh Pirates,Player Strikeouts,4.5,-127.0,4.5,-158.0,7.314732033324816
32800-66793-2024-09-21-13,MLB,Toronto Blue Jays,Tampa Bay Rays vs Toronto Blue Jays,1st Inning Moneyline 3-Way,,360.0,,321.0,7.121233291416317
16196-34048-2024-09-21-18,MLB,Los Angeles Dodgers,Los Angeles Dodgers vs Colorado Rockies,1st Inning Moneyline 3-Way,,220.0,,193.0,7.0735461420063075
16196-34048-2024-09-21-18,MLB,Gavin Lux Yes,Los Angeles Dodgers vs Colorado Rockies,Player Home Runs Yes/No,,850.0,,770.0,7.054315979265283
16196-34048-2024-09-21-18,MLB,Gavin Lux Over 0.5,Los Angeles Dodgers vs Colorado Rockies,Player Home Runs,0.5,850.0,0.5,770.0,7.054315979265283
16343-17324-24-38,NFL,Tony Pollard Over 62.5,Tennessee Titans vs Green Bay Packers,Player Rushing Yards,62.5,-108.0,62.5,-130.0,6.722238009535552
16343-17324-24-38,,Romeo Doubs,,Anytime Touchdown Scorer,,480.0,,433.0,6.684324761799658
16343-17324-24-38,,Romeo Doubs Over 0.5,,Player Touchdowns,0.5,480.0,0.5,433.0,6.684324761799658
16196-34048-2024-09-21-18,MLB,Walker Buehler Under 6.5,Los Angeles Dodgers vs Colorado Rockies,Player Strikeouts,6.5,-142.0,6.5,-176.0,6.544352789084584
20026-35734-24-38,NCAAF,UCLA,LSU vs UCLA,1st Half Moneyline,,650.0,,591.0,6.410147271643808
60486-26495-2024-09-21-16,MLB,Houston Astros,Houston Astros vs Los Angeles Angels,1st Inning Moneyline 3-Way,,245.0,,219.0,6.0298727641526995
39506-20895-2024-09-21-13,MLB,Kutter Crawford Under 4.5,Boston Red Sox vs Minnesota Twins,Player Hits Allowed,4.5,116.0,4.5,-100.0,5.882352941176478
12164-37900-2024-09-21-13,MLB,Ranger Suarez Over 4.5,New York Mets vs Philadelphia Phillies,Player Strikeouts,4.5,-131.0,4.5,-158.0,5.871214098989476
16087-75184-24-38,NCAAF,South Florida,South Florida vs Miami Florida,1st Half Moneyline,,400.0,,364.0,5.6457065584854575
22677-25327-24-38,NFL,De'Von Achane Over 74.5,Seattle Seahawks vs Miami Dolphins,Player Rushing Yards,74.5,-109.0,74.5,-128.0,5.534568567488158
13482-30741-24-38,NCAAF,New Mexico State,Sam Houston State vs New Mexico State,Moneyline,,550.0,,504.0,5.505778470328536
43291-12171-24-38,NCAAF,Arkansas State,Iowa State vs Arkansas State,Moneyline,,900.0,,830.0,5.418511490617732
14412-37337-2024-09-21-16,MLB,Arizona Diamondbacks,Milwaukee Brewers vs Arizona Diamondbacks,1st Inning Moneyline 3-Way,,330.0,,301.0,5.1293335289227855
