Game ID,Bet Name,Game Name,Market Name,line_caesars,Odds_caesars,line_pinnacle,Odds_pinnacle,EV_caesars
24292-36707-2024-09-20-15,Nick Gonzales Yes,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs Yes/No,,750.0,,643.0,12.157918349035455
24292-36707-2024-09-20-15,Nick Gonzales Over 0.5,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs,0.5,750.0,0.5,643.0,12.157918349035455
12164-37900-2024-09-20-16,Weston Wilson Over 0.5,New York Mets vs Philadelphia Phillies,Player Home Runs,0.5,700.0,0.5,609.0,10.622528277883788
12164-37900-2024-09-20-16,Weston Wilson Yes,New York Mets vs Philadelphia Phillies,Player Home Runs Yes/No,,700.0,,609.0,10.622528277883788
12164-37900-2024-09-20-16,Cristopher Sanchez Under 5.5,New York Mets vs Philadelphia Phillies,Player Hits Allowed,5.5,100.0,5.5,-128.0,10.079119367045067
24292-36707-2024-09-20-15,Jared Triolo Yes,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs Yes/No,,650.0,,573.0,9.25618390000875
24292-36707-2024-09-20-15,Jared Triolo Over 0.5,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs,0.5,650.0,0.5,573.0,9.25618390000875
24292-36707-2024-09-20-15,Ty France Yes,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs Yes/No,,650.0,,574.0,9.094082736952345
24292-36707-2024-09-20-15,Ty France Over 0.5,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs,0.5,650.0,0.5,574.0,9.094082736952345
54558-76765-2024-09-20-18,Gerrit Cole Over 17.5,Oakland Athletics vs New York Yankees,Player Outs,17.5,-169.0,17.5,-231.0,8.905393795552488
32800-66793-2024-09-20-15,Ernie Clement Yes,Tampa Bay Rays vs Toronto Blue Jays,Player Home Runs Yes/No,,900.0,,809.0,7.853922647166669
32800-66793-2024-09-20-15,Ernie Clement Over 0.5,Tampa Bay Rays vs Toronto Blue Jays,Player Home Runs,0.5,900.0,0.5,809.0,7.853922647166669
37569-25683-2024-09-20-18,Joe Musgrove Over 4.5,San Diego Padres vs Chicago White Sox,Player Hits Allowed,4.5,-113.0,4.5,-138.0,7.152699705597996
54558-76765-2024-09-20-18,Jasson Dominguez Yes,Oakland Athletics vs New York Yankees,Player Home Runs Yes/No,,650.0,,589.0,6.719030137454098
54558-76765-2024-09-20-18,Jasson Dominguez Over 0.5,Oakland Athletics vs New York Yankees,Player Home Runs,0.5,650.0,0.5,589.0,6.719030137454098
35183-80389-2024-09-20-17,Mason Black Under 2.5,Kansas City Royals vs San Francisco Giants,Player Earned Runs,2.5,-104.0,2.5,-124.0,6.4560439560439775
24292-36707-2024-09-20-15,Mitch Keller Under 5.5,Cincinnati Reds vs Pittsburgh Pirates,Player Strikeouts,5.5,-137.0,5.5,-168.0,6.316848560973561
14818-40673-2024-09-20-16,Valente Bellozo Under 5.5,Miami Marlins vs Atlanta Braves,Player Hits Allowed,5.5,-125.0,5.5,-151.0,6.163580970236708
35183-80389-2024-09-20-17,Michael Wacha Under 5.5,Kansas City Royals vs San Francisco Giants,Player Hits Allowed,5.5,-145.0,5.5,-177.0,5.850132907638333
14818-40673-2024-09-20-16,Orlando Arcia Yes,Miami Marlins vs Atlanta Braves,Player Home Runs Yes/No,,600.0,,549.0,5.743375932807609
14818-40673-2024-09-20-16,Orlando Arcia Over 0.5,Miami Marlins vs Atlanta Braves,Player Home Runs,0.5,600.0,0.5,549.0,5.743375932807609
60486-26495-2024-09-20-17,Justin Verlander Over 17.5,Houston Astros vs Los Angeles Angels,Player Outs,17.5,-106.0,17.5,-124.0,5.471433856561511
14412-37337-2024-09-20-17,Garrett Mitchell Over 0.5,Milwaukee Brewers vs Arizona Diamondbacks,Player Bases,0.5,-123.0,0.5,-145.0,5.196550164781357
12164-37900-2024-09-20-16,David Peterson Under 5.5,New York Mets vs Philadelphia Phillies,Player Strikeouts,5.5,-154.0,5.5,-186.0,5.162217461682687
60486-26495-2024-09-20-17,Mickey Moniak Over 0.5,Houston Astros vs Los Angeles Angels,Player Home Runs,0.5,500.0,0.5,462.0,4.668201800293062
60486-26495-2024-09-20-17,Mickey Moniak Yes,Houston Astros vs Los Angeles Angels,Player Home Runs Yes/No,,500.0,,462.0,4.668201800293062
24292-36707-2024-09-20-15,Bryan De La Cruz Over 0.5,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs,0.5,450.0,0.5,419.0,3.895122596244647
24292-36707-2024-09-20-15,Bryan De La Cruz Yes,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs Yes/No,,450.0,,419.0,3.895122596244647
81005-25135-2024-09-20-17,Pedro Pages Yes,St. Louis Cardinals vs Cleveland Guardians,Player Home Runs Yes/No,,850.0,,798.0,3.716319489934051
81005-25135-2024-09-20-17,Pedro Pages Over 0.5,St. Louis Cardinals vs Cleveland Guardians,Player Home Runs,0.5,850.0,0.5,798.0,3.716319489934051
14818-40673-2024-09-20-16,Ramon Laureano Over 0.5,Miami Marlins vs Atlanta Braves,Player Home Runs,0.5,400.0,0.5,377.0,2.7664734656965635
14818-40673-2024-09-20-16,Ramon Laureano Yes,Miami Marlins vs Atlanta Braves,Player Home Runs Yes/No,,400.0,,377.0,2.7664734656965635
14412-37337-2024-09-20-17,Gabriel Moreno Yes,Milwaukee Brewers vs Arizona Diamondbacks,Player Home Runs Yes/No,,900.0,,859.0,2.2306732912142877
14412-37337-2024-09-20-17,Gabriel Moreno Over 0.5,Milwaukee Brewers vs Arizona Diamondbacks,Player Home Runs,0.5,900.0,0.5,859.0,2.2306732912142877
14412-37337-2024-09-20-17,William Contreras Yes,Milwaukee Brewers vs Arizona Diamondbacks,Player Home Runs Yes/No,,450.0,,430.0,1.7388087310395974
14412-37337-2024-09-20-17,William Contreras Over 0.5,Milwaukee Brewers vs Arizona Diamondbacks,Player Home Runs,0.5,450.0,0.5,430.0,1.7388087310395974
54558-76765-2024-09-20-18,Gerrit Cole Over 6.5,Oakland Athletics vs New York Yankees,Player Strikeouts,6.5,-148.0,6.5,-162.0,1.5789026565856332
32800-66793-2024-09-20-15,Addison Barger Over 0.5,Tampa Bay Rays vs Toronto Blue Jays,Player Home Runs,0.5,650.0,0.5,624.0,1.5599610009749938
32800-66793-2024-09-20-15,Addison Barger Yes,Tampa Bay Rays vs Toronto Blue Jays,Player Home Runs Yes/No,,650.0,,624.0,1.5599610009749938
81005-25135-2024-09-20-17,Kyle Gibson Under 4.5,St. Louis Cardinals vs Cleveland Guardians,Player Strikeouts,4.5,-121.0,4.5,-130.0,1.2097257156545709
39506-20895-2024-09-20-16,Wilyer Abreu Over 0.5,Boston Red Sox vs Minnesota Twins,Player Home Runs,0.5,500.0,0.5,486.0,0.38144950813088485
39506-20895-2024-09-20-16,Wilyer Abreu Yes,Boston Red Sox vs Minnesota Twins,Player Home Runs Yes/No,,500.0,,486.0,0.38144950813088485
37569-25683-2024-09-20-18,Andrew Vaughn Yes,San Diego Padres vs Chicago White Sox,Player Home Runs Yes/No,,600.0,,585.0,0.18605982539001786
37569-25683-2024-09-20-18,Andrew Vaughn Over 0.5,San Diego Padres vs Chicago White Sox,Player Home Runs,0.5,600.0,0.5,585.0,0.18605982539001786
14412-37337-2024-09-20-17,Brice Turang Over 1.5,Milwaukee Brewers vs Arizona Diamondbacks,Player Bases,1.5,136.0,1.5,131.0,0.1612766318648653
24292-36707-2024-09-20-15,Andrew McCutchen Yes,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs Yes/No,,350.0,,341.0,0.04001600640255276
24292-36707-2024-09-20-15,Andrew McCutchen Over 0.5,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs,0.5,350.0,0.5,341.0,0.04001600640255276
24292-36707-2024-09-20-15,Isiah Kiner-Falefa Yes,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs Yes/No,,750.0,,783.0,-1.0
32800-66793-2024-09-20-15,Jose Berrios Under 5.5,Tampa Bay Rays vs Toronto Blue Jays,Player Hits Allowed,5.5,-111.0,5.5,-112.0,-1.0
24292-36707-2024-09-20-15,Isiah Kiner-Falefa Over 0.5,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs,0.5,750.0,0.5,783.0,-1.0
40548-36174-2024-09-20-11,Cody Bellinger Yes,Chicago Cubs vs Washington Nationals,Player Home Runs Yes/No,,450.0,,464.0,-1.0
16196-34048-2024-09-20-19,Shohei Ohtani Over 0.5,Los Angeles Dodgers vs Colorado Rockies,Player Home Runs,0.5,300.0,0.5,320.0,-1.0
14818-40673-2024-09-20-16,Griffin Conine Yes,Miami Marlins vs Atlanta Braves,Player Home Runs Yes/No,,750.0,,735.0,-1.0
14412-37337-2024-09-20-17,Jackson Chourio Over 0.5,Milwaukee Brewers vs Arizona Diamondbacks,Player Home Runs,0.5,550.0,0.5,539.0,-1.0
37569-25683-2024-09-20-18,Donovan Solano Over 0.5,San Diego Padres vs Chicago White Sox,Player Home Runs,0.5,800.0,0.5,788.0,-1.0
37569-25683-2024-09-20-18,Donovan Solano Yes,San Diego Padres vs Chicago White Sox,Player Home Runs Yes/No,,800.0,,788.0,-1.0
54558-76765-2024-09-20-18,Austin Wells Over 0.5,Oakland Athletics vs New York Yankees,Player Home Runs,0.5,450.0,0.5,457.0,-1.0
54558-76765-2024-09-20-18,Austin Wells Yes,Oakland Athletics vs New York Yankees,Player Home Runs Yes/No,,450.0,,457.0,-1.0
81005-25135-2024-09-20-17,Jordan Walker Over 0.5,St. Louis Cardinals vs Cleveland Guardians,Player Home Runs,0.5,550.0,0.5,547.0,-1.0
81005-25135-2024-09-20-17,Kyle Manzardo Over 0.5,St. Louis Cardinals vs Cleveland Guardians,Player Home Runs,0.5,450.0,0.5,502.0,-1.0
81005-25135-2024-09-20-17,Jordan Walker Yes,St. Louis Cardinals vs Cleveland Guardians,Player Home Runs Yes/No,,550.0,,547.0,-1.0
81005-25135-2024-09-20-17,Kyle Manzardo Yes,St. Louis Cardinals vs Cleveland Guardians,Player Home Runs Yes/No,,450.0,,502.0,-1.0
14412-37337-2024-09-20-17,Ketel Marte Over 1.5,Milwaukee Brewers vs Arizona Diamondbacks,Player Bases,1.5,106.0,1.5,110.0,-1.0
14412-37337-2024-09-20-17,Jackson Chourio Yes,Milwaukee Brewers vs Arizona Diamondbacks,Player Home Runs Yes/No,,550.0,,539.0,-1.0
14818-40673-2024-09-20-16,Griffin Conine Over 0.5,Miami Marlins vs Atlanta Braves,Player Home Runs,0.5,750.0,0.5,735.0,-1.0
60486-26495-2024-09-20-17,Brandon Drury Over 0.5,Houston Astros vs Los Angeles Angels,Player Home Runs,0.5,600.0,0.5,594.0,-1.0
60486-26495-2024-09-20-17,Kyle Tucker Over 0.5,Houston Astros vs Los Angeles Angels,Player Home Runs,0.5,320.0,0.5,323.0,-1.0
60486-26495-2024-09-20-17,Brandon Drury Yes,Houston Astros vs Los Angeles Angels,Player Home Runs Yes/No,,600.0,,594.0,-1.0
60486-26495-2024-09-20-17,Kyle Tucker Yes,Houston Astros vs Los Angeles Angels,Player Home Runs Yes/No,,320.0,,323.0,-1.0
16196-34048-2024-09-20-19,Shohei Ohtani Yes,Los Angeles Dodgers vs Colorado Rockies,Player Home Runs Yes/No,,300.0,,320.0,-1.0
12164-37900-2024-09-20-16,Alec Bohm Over 0.5,New York Mets vs Philadelphia Phillies,Player Home Runs,0.5,600.0,0.5,626.0,-1.0
12164-37900-2024-09-20-16,J.T. Realmuto Over 0.5,New York Mets vs Philadelphia Phillies,Player Home Runs,0.5,600.0,0.5,634.0,-1.0
12164-37900-2024-09-20-16,Alec Bohm Yes,New York Mets vs Philadelphia Phillies,Player Home Runs Yes/No,,600.0,,626.0,-1.0
12164-37900-2024-09-20-16,J.T. Realmuto Yes,New York Mets vs Philadelphia Phillies,Player Home Runs Yes/No,,600.0,,634.0,-1.0
40548-36174-2024-09-20-11,Cody Bellinger Over 0.5,Chicago Cubs vs Washington Nationals,Player Home Runs,0.5,450.0,0.5,464.0,-1.0
